1154842;http://kinozal.tv/details.php?id=1154842;Нянпир;2011;Япония;30;1;3;12; HDTVRip (720p); 1.59 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 254 Кбит/с); XviD, ~ 3800 Кбит/с, 1280x720;7.1;6.900;Такахиро Есимацу;Комедия, пародия
1140110;http://kinozal.tv/details.php?id=1140110;Раз героем мне не стать - самое время работу искать!;2013;Япония;71;11;6;11; HDTVRip (720p); 3.9 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 1600 Кбит/с, 1280x720;0;0;Киндзи Есимото;Комедия, этти
1154623;http://kinozal.tv/details.php?id=1154623;Ван Пис;2013;Япония;10;5;1;5; HDTVRip (720p); 2.41 ГБ; Русский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 2800 Кбит/с, 1280x720;8.7;8.299;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
1126690;http://kinozal.tv/details.php?id=1126690;Ван Пис;2013;Япония;146;13;21;13; HDTVRip (720p); 5.62 ГБ; Русский (AC3, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 4100 Кбит/с, 1280x720;8.7;8.307;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
1154566;http://kinozal.tv/details.php?id=1154566;Берсерк: Золотой век. Фильм III: Сошествие;2013;Япония;148;1;10;1; BDRip (1080p); 2.42 ГБ; AC3, 6 ch, 640 Кбит/с; MPEG-4 AVC, 2504 Кбит/с, 1920x816;7.8;7.881;Тосиюки Кубоока;Приключения, фэнтези, драма
1099166;http://kinozal.tv/details.php?id=1099166;Царство;2013;Япония;311;27;18;27; HDTVRip (720p); 9.13 ГБ; Русский, японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 1200 Кбит/с, 1280x720;0;0;Акира Иванага;Приключения, история
1131685;http://kinozal.tv/details.php?id=1131685;Заморозка;2013;Япония;39;10;2;10; HDTVRip (720p); 5.15 ГБ; Русский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 3300 Кбит/с, 1280x720;0;0;Такаси Ватанабэ;Приключения
1130832;http://kinozal.tv/details.php?id=1130832;Крошить кромсать (Убить или быть убитым);2013;Япония;185;11;3;11; HDTVRip (720p); 5.98 ГБ; Русский (AAC, 2 ch, 189 Кбит/с), японский (AAC, 2 ch, 191 Кбит/с); MPEG-4 AVC, 4210 Кбит/с, 1280x720;0;0;Хироюки Имайси;Приключения, комедия, этти
1131141;http://kinozal.tv/details.php?id=1131141;Мятежная компания;2013;Япония;116;1;5;20; HDTVRip (720p); 2.64 ГБ; Русский, японский (AAC, 2 ch, 189 Кбит/с); MPEG-4 AVC, ~ 1500 Кбит/с, 1280x720;0;0;Кэй Ойкава;Приключения, комедия
1131724;http://kinozal.tv/details.php?id=1131724;Бесконечные Небеса;2013;Япония;221;9;6;9; HDTVRip (720p); 3.29 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 191 Кбит/с); MPEG-4 AVC, ~ 2000 Кбит/с, 1280x720;6.6;7.461;Ясухито Кикути;Приключения
1130383;http://kinozal.tv/details.php?id=1130383;Крошить кромсать (Убить или быть убитым);2013;Япония;103;10;5;10; HDTVRip (720p); 4.85 ГБ; Русский (AAC, 2 ch, 189 Кбит/с), японский (AAC, 2 ch, 191 Кбит/с); MPEG-4 AVC, 4210 Кбит/с, 1280x720;0;0;Хироюки Имайси;Приключения, комедия, этти
1130176;http://kinozal.tv/details.php?id=1130176;За пределами (За Гранью);2013;Япония;62;8;4;8; HDTVRip (720p); 2.91 ГБ; Русский (AAC, 2 ch, 189 Кбит/с), японский (AAC, 2 ch, 189 Кбит/с); MPEG-4 AVC, 3235 Кбит/с, 1280x720;0;0;Тайти Исидатэ;Приключения, мистика
1131566;http://kinozal.tv/details.php?id=1131566;Баскетбол Куроко;2013;Япония;158;9;9;9; HDTVRip (720p); 3.83 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (ААС, 2 ch, 128 Кбит/с); MPEG-4 AVC, 1775 Кбит/с, 1280x720;0;0;Сюнсукэ Тада;Комедия, спорт, школа
